3	99	3.0303030303030303
1	82	1.2195121951219512
0	93	0.0
1	80	1.25
2	70	2.857142857142857
1	79	1.2658227848101267
1	51	1.9607843137254901
0	13	0.0
2	23	8.695652173913043
0	32	0.0
1	45	2.2222222222222223
0	16	0.0
1	40	2.5
3	45	6.666666666666667
0	57	0.0
1	48	2.083333333333333
0	32	0.0
2	44	4.545454545454546
0	59	0.0
1	53	1.8867924528301887
0	38	0.0
0	57	0.0
3	50	6.0
2	57	3.508771929824561
2	55	3.6363636363636362
0	58	0.0
5	79	6.329113924050633
1	32	3.125
6	81	7.4074074074074066
0	51	0.0
2	70	2.857142857142857
